abwsolwentów#gospodarka#akademia#inżynier#magister#wykształcić#zapewniać#kadra#170#000#akademia wykształciła ponad 170 000 abwsolwentów - inżynierów i magistrów zapewniając kadrę dla naszej gospodarki
telefon#617#promocja#12#48#31#91#dziać:dział:działo#informacja# Telefon dział informacji i promocji: 48 12 617 31 91
telefon#internetowy#szewczyk#maciej:macieja#magister#inżynier#617#97#wrzoszczyk#41#12#48#49#tomczyk#katarzyn:katarzyna#38#weronika#redakcja#35#strona# Telefon redakcja strony internetowej: magister Weronika Szewczyk 48 12 617 49 38                                                                                                                                                                                                                                                                                                                                            ,magister inżynier Maciej Tomczyk 48 12 617 48 97 oraz magister Katarzyna Wrzoszczyk 48 12 617 35 41
telefon#anna#muszyńska#magister#617#żmuda#agh#rzecznik#12#48#45#prasowy#605#109#25#858# Telefon rzecznik prasowy AGH magister Anna Żmuda-Muszyńska 48 12 617 25 45 oraz 48 605 109 858
telefon#ochrona#tomasz#magister#617#dana:dane:dany:dać#12#48#53#inspektor#osobowy#25#józefka:józefko# Telefon inspektor ochrony danych osobowych magister Tomasz Józefko 48 12 617 53 25
dziedzina#wiedza#kształcenie:kształcić#unesco#rok#poziom#oda#centrum#kraj#inżynierski#rozwijać#promocja#polska#techniczny#praktyk:praktyka#zwłaszcza#nauka#edukacja#jednostka#auspicje#inspirować:inspirujący#technologia#wspierający:wspierać#wymiana#transfer#2011#koordynować#pierwsza:pierwszy#agh-unesco#agh#adresować#międzynarodowy#wymiar#uniwersytecki#dziać:działać:działo#w agh od roku 2011 działa centrum międzynarodowej promocji technologii i edukacji agh-unesco                                                                                                  ,które jest pierwszą w polsce jednostką pod auspicjami unesco                                                                                                                            ,inspirującą i koordynującą oraz wspierającą wymianę i transfer wiedzy i praktyki inżynierskiej oraz kształcenie na poziomie uniwersyteckim w dziedzinie nauk technicznych w wymiarze międzynarodowym,zwłaszcza adresowanym do krajów rozwijających się
świat#adresować#agh-unesco#agh#wpisywać#partner#unesco#działanie:działać#priorytet#centrum# działania centrum agh-unesco wpisują się w priorytety unesco oraz agh i są adresowane do partnerów na całym świecie
publikator#ujednolicić#składać#publiczny#urzędowy#system#biuletyn#sieć#informatyczny#teleinformatyczny#strona#informacja#biuletyn informacji publicznej to urzędowy publikator teleinformatyczny                                                                                                                                                                                                                                                                                                                                                                                   ,składający się z ujednoliconego systemu stron w sieci informatycznej
zostać#udostępniać#publiczny#cel#biuletyn#stworzyć#powszechny#informacja# biuletyn informacji publicznej został stworzony w celu powszechnego udostępniania informacji publicznej
maj:maja#franciszek:franciszka#górniczy#utworzyć#józef:józefa#zatwierdzić#cesarz#31#rok#wysoki#szkoła#krak:kraka:kraków#1913#31 maja 1913 roku cesarz franciszek józef i zatwierdził utworzenie wyższej szkoły górniczej w krakowie
górniczy#poprzedzić#akademia#dług:długi#inżynier#utworzyć#mieć#hutnik#kształcić#ciąg#powołanie:powołać#wysoki#szkoła#krak:kraka:kraków#staranie:starać#górnik# utworzenie wyższej szkoły górniczej w krakowie poprzedził długi ciąg starań o powołanie akademii                                                                                                                                                                                                                                                                                                                    ,która miałaby kształcić inżynierów górników i hutników
zabieg#górniczy#przewodnictwo#inżynier#uczelnia#kształcić:kształcący#1912#wybitny#zgoda#działacz#górnictwo#jan:jana#zarański#rok#wszcząć#powołanie:powołać#wysoki#krak:kraka:kraków#grupa# w 1912 roku grupa wybitnych inżynierów i działaczy górniczych pod przewodnictwem jana zarańskiego wszczęła zabiegi o zgodę na powołanie w krakowie wyższej uczelni kształcącej inżynierów górnictwa
ministerstwo#zostać#komitet#górniczy#akademia#robota:roboty#publiczny#józef:józefa#powołać#organizacyjny#przewodniczyć:przewodnicząca:przewodniczący#morozewicz#rok#profesor#wiedeń#1913# w 1913 roku ministerstwo robót publicznych w wiedniu powołało komitet organizacyjny akademii górniczej                                                                                                                                                                                                                                                                                   ,którego przewodniczącym został profesor józef morozewicz
położyć#górniczy#15#akademia#budowa#węgielny#gmach#rok#czerwiec#1923#kamień#przyszły# 15 czerwca 1923 roku położono kamień węgielny pod budowę przyszłego gmachu akademii górniczej
zebranie:zebrać#zatwierdzić#bit#rok#treter#projekt#zachować#muzeum#tona#bogdan#godło#górniczy#prawdopodobnie#1925#profesor#ogólny#monogram#akademia#agh#sygnować#powstać#historia# w 1925 roku powstał projekt godła akademii górniczej (zachowany w muzeum historii agh) sygnowany monogramem b t – bogdan treter                                                                                                                                                                                                                                                                 ,prawdopodobnie zatwierdzony przez zebranie ogólne profesorów
14#wprowadzenie:wprowadzić#wojenny#grudzień#akademicki#solidarność#agh#społeczność#sztandar#stan#wolność#wywalczyć#rok#stłumienie:stłumić#zaprotestować#poczucie:poczuć#przeciwko#1981#odważyć# 14 grudnia 1981 roku społeczność akademicka agh pod sztandarem „solidarności” odważyła się zaprotestować przeciwko stłumieniu – wprowadzeniem stanu wojennego – wywalczonego poczucia wolności i solidarności
kraj#uczelniany#zorganizować#strajk#wojenny#solidarność#samorządowy#agh#jedyna:jedyny#stan#zawodowy#związek:związka#organizacja#trzy#okupacyjny#pierwsza:pierwsze:pierwszy#niezależny#krak:kraka:kraków#dzień# niezależny samorządowy związek zawodowy „solidarność” agh był organizacją uczelnianą                                                                                                                                                                                                                                                                                ,jedyną w krakowie i jedną z trzech w kraju                                                                                                                                              ,które zorganizowały strajki okupacyjne w pierwszych dniach stanu wojennego
druga:drugi#kraj#dziewiętnasty#wiek:wieko#górniczy#nasilić#utworzyć#naukowy#uzyskać#autonomia#rozpocząć#powołanie:powołać#kadr:kadra:kadry#połowa:połów#wraz#odpowiedni:odpowiednio#galicja#uczelnia#staranie:starać#starania o utworzenie w kraju uczelni górniczej oraz powołanie odpowiedniej kadry naukowej rozpoczęły się w drugiej połowie dziewiętnastego wieku i nasiliły wraz z uzyskaniem przez galicję autonomii
zabieg#górniczy#przewodnictwo#inżynier#uczelnia#kształcić:kształcący#1912#wybitny#zgoda#działacz#górnictwo#jan:jana#zarański#rok#wszcząć#powołanie:powołać#wysoki#krak:kraka:kraków#grupa# w 1912 roku grupa wybitnych inżynierów i działaczy górniczych pod przewodnictwem inżyniera jana zarańskiego wszczęła zabiegi o zgodę na powołanie w krakowie wyższej uczelni kształcącej inżynierów górnictwa
zostać#władza#lipiec#10#otrzymać#inżynier#otwarcie:otworzyć#kształcić:kształcący#1912#górnictwo#zwieńczyć#powodzenie:powodzić#powołanie:powołać#kraków#krak:kraka:kraków#wysoki#rok#zezwolenie:zezwolić#uczelnia#staranie:starać# starania o powołanie w krakowie wyższej uczelni kształcącej inżynierów górnictwa zostały zwieńczone powodzeniem – 10 lipca 1912 roku władze krakowa otrzymały zezwolenie na otwarcie uczelni
kartka#1919#łukasiewicz#kraków#konferencja#rok#lea:leo#róg#juliusz#naczelnik#dopisek#dolny#państwo#pierwsza:pierwsze:pierwszy#minister#górniczy#prezydent#sprawa#dokument#mianować#widnieć#ewangelia_świętego_jana#profesor#kwiecień#wystosować#pismo#akademia#notatka#miasto#prawa:prawy# w notatce z konferencji u prezydenta miasta krakowa juliusza lea widnieje dopisek w prawym dolnym rogu kartki na jednym z dokumentów: w kwietniu 1919 roku minister jan łukasiewicz wystosował pisma do naczelnika państwa w sprawie mianowania pierwszych profesorów akademii górniczej
maj:maja#zostać#1919#sześć#1#oficjalnie#mianować#józef:józefa#rok#profesor#piłsudski# sześciu profesorów zostało oficjalnie mianowanych przez józefa piłsudskiego 1 maja 1919 roku
komitet#1919#hutniczy#organizacyjny#religijny#rok#oda#krak:kraka:kraków#kwiecień:kwietni#20#1920#stanowisko#oświecenie:oświecić#obsadzenie:obsadzić#ministerstwo#górniczy#konkurs#1#katedra#rozpisać#wydział#upoważnić#akademia#publiczny#naukowy#czerwiec#częściowo#wyznanie:wyznać# 20 czerwca 1919 roku komitet organizacyjny akademii górniczej w krakowie                                                                                                                                                                                                                     ,upoważniony przez ministerstwo wyznań religijnych i oświecenia publicznego                                                                                                              ,rozpisał konkurs na obsadzenie od 1 kwietnia 1920 roku stanowisk naukowych w katedrach na wydziale górniczym                                                                                        ,a częściowo na wydziale hutniczym akademii
prodziekan#zostać#stock#posiedzenie:posiedzieć#górniczy#akademia#wydział#wybrany:wybrać#ewangelia_świętego_jana#profesor#pierwsza:pierwsze:pierwszy#dziekan#hoborski#antoni:antonie# na pierwszym posiedzeniu wydziału profesorów akademii górniczej na dziekana wydziału górniczego wybrany został profesor antoni hoborski                                                                                                                                                                                                                                                       ,a prodziekanem został profesor jan stock
ustawić#1919#novum#rok#szpaler#uniwersytet#akademicki#20#collegium#gmach#inauguracja#józef:józefa#powitać#pierwsze:pierwszy#aula#jagielloński#październik#odbyć#udekorować#kwiat#młodzież#piłsudski# 20 października 1919 roku odbyła się inauguracja pierwszego roku akademickiego w auli collegium novum uniwersytetu jagiellońskiego - józefa piłsudskiego powitała młodzież                                                                                                                                                                                                    ,ustawiona w szpalerze przed udekorowanym kwiatami gmachem
orzeł#1919#bok#polski:polskie#kraków#rok#przedstawiać#herb#kart:karta:karty#uniwersytet#uziembły#20#pergaminowy#porucznik#wówczas#piechota#żołnierz#piłsudski#korona#wojska:wojsko#zdobić#piłsudska:piłsudski#kościesza#widnieć#legionowy#kawaleria#jagielloński#październik#góra:góry#datować#winieta:winąć#obramowanie:obramować#dola:dół#henryk:henryka#sygnować#autograf#grafik:grafika#grupa# na winiecie pergaminowej karty z autografem piłsudskiego widnieje sygnowana i datowana na 20 października 1919 roku grafika henryka uziembły                                    ,wówczas porucznika wojska polskiego                                                                                                                                                     ,przedstawiająca grupę żołnierzy legionowych z piechoty i kawalerii w obramowaniu zdobionym herbami: orła legionowego z koroną (u góry)                                                              ,uniwersytetu jagiellońskiego i krakowa (po bokach) oraz herbem piłsudskich – kościesza (na dole)
creata#swój#duch#servio#zawodowy#et:eta#dewiza#wychowywać#odpowiedzialność#mądry#zgodnie#student#obywatelski#labori#swoić:swój#tradycja#pielęgnować#człowiek#labore#akademia#prawa:prawy#scientiae# akademia pielęgnuje swoje tradycje i wychowuje studentów na ludzi mądrych i prawych                                                                                                                                                                                                                                                                                            ,w duchu odpowiedzialności zawodowej i obywatelskiej                                                                                                                                     ,zgodnie ze swoją dewizą: „Labore creata                                                                                                                                                             ,labori et scientiae servio”
orzeł#tarcza#perlik#korona#górniczy#hutniczy#umieścić#akademia#agh#stylizować#żelazo#inicjał:inicjały#stan:stanowić:stanowy#godło#godło akademii górniczo-hutniczej stanowi stylizowany orzeł z koroną i tarczą                                                                                                                                                                                                                                                                                                                                                                    ,na której umieszczone są perlik i żelazo (godło górnicze) oraz inicjały agh
wersja#rysunek#przyznać#asp#podstawa#ignacy#obecna:obecny#rok#1934#treter#zostać#zachować#wykonać#bogdan#aplikacja#godło#graficzny#mościcki#zaprojektować#1925#docent#krakowski#agh#dyplom# obecna wersja godła agh została zaprojektowana na podstawie rysunku wykonanego w 1925 roku przez docenta krakowskiej asp bogdana tretera oraz graficznej aplikacji rysunku zachowanej na dyplomie przyznanym ignacemu mościckiemu w 1934 roku
zostać#dziedzictwo#rektor#górniczy#akademia#wyłącznie#uczelnia#dokument#agh#naukowy#hutniczy#promować#przeznaczyć#zastrzec#godło#historia# godło agh przeznaczone jest wyłącznie do promowania historii oraz dziedzictwa naukowego uczelni i zostało zastrzeżone dla dokumentów rektora akademii górniczo-hutniczej
graficzny#sygnet#górniczy#hutniczy#akademia#zbudować#znak#logotyp#znak graficzny akademii górniczo-hutniczej zbudowany jest z sygnetu oraz logotypu
graficzny#codzienny#identyfikacja#górniczy#hutniczy#akademia#znak#agh#jedyna:jedyne:jedyny#wizualny#służyć:służąca:służący# znak graficzny agh jest jedynym znakiem służącym codziennej identyfikacji wizualnej akademii górniczo-hutniczej
górniczy#hutniczy#akademia#czernić:czerń#czerwienić:czerwień:czerwić#barwa:barwy#zielenić:zieleń#barwami akademii górniczo-hutniczej są zieleń                                                                                                                                                                                                                                                                                                                                                                                                                                     ,czerń oraz czerwień
nawiązywać#symbolika#kolorystyka#agh#górnictwo#barwa:barwić:barwy#hutnictwo#związać#tradycyjny# symbolika barw agh nawiązuje do tradycyjnej kolorystyki związanej z górnictwem i hutnictwem
nawiązywać#hutniczy#symbolizować#stałość#odzwierciedlać#niezbędny#mądrość#zielenić:zieleń#żelazo#kopalnia#rozwaga#roztopić#czerwienić:czerwień:czerwić#barwa#ogień#symbolika#górniczy#cech:cecha#czernić:czerń#natura#barwa:barwić:barwy#głąb:głębia:głębić#las:lasa#zawód#nastęująca#agh#pole# symbolika barw agh jest nastęująca: zieleń odzwierciedla naturę                                                                                                                                                                                                                    ,pola i lasy; czerń nawiązuje do głębi kopalń oraz symbolizuje cechy niezbędne w zawodzie górniczym i hutniczym                                                                          ,takie jak rozwaga                                                                                                                                                                                   ,mądrość i stałość; czerwień to barwa ognia i roztopionego żelaza
topór#władza#pierścienić:pierścień#agh#ceremonialny#berło#insygnium#łańcuch#insygnia władzy agh to: łańcuch                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,berło i topór ceremonialny oraz pierścień
honorowy#zaszczyt#causa#doctor#naukowy#tytuł#łacina#osoba#nauka#nadawać#kultura#honoris#uczelnia#szczególnie#zasłużona:zasłużony:zasłużyć#doctor honoris causa (z łaciny dla zaszczytu) to honorowy tytuł naukowy nadawany przez uczelnie osobom szczególnie zasłużonym dla nauki i kultury
status#causa#doctor#naukowy#osoba#tytuł:tytuła#zazwyczaj#wysoki#nadawać#honoris#społeczny# Tytuł doctor honoris causa nadawany jest zazwyczaj osobom o wysokim statusie społecznym i naukowym
zasłużony:zasłużyć#posiedzenie:posiedzieć#akademia#agh#tytuł#raz#czerwcowy#rok#uchwała#przyznawać#senat#podejmować#tytuł zasłużony dla agh przyznaje senat akademii podejmując uchwałę raz w roku na czerwcowym posiedzeniu
zasłużony:zasłużyć#akademicki#agh#tytuł#wręczyć#odbywać#związać#rok#inauguracja#insygnium#czas#" wręczenie insygniów związanych z tytułem ""zasłużony dla agh"" odbywa się w czasie inauguracji roku akademickiego"
honorowy#pracownica:pracownik#rozwój#działalność#artykuł#agh#tytuł#promocja#uzyskać#przyczynić#związać#konsul#nadawać#zgodnie#móc#osoba#uczelnia#aktualny#tytuł honorowego konsula agh nadawany jest osobom związanym z uczelnią, których działalność przyczyniła się do jej rozwoju i promocji zgodnie z artykułem, tytułu tego nie mogą uzyskać aktualni pracownicy agh
doktor:doktór#wybitny#twórca#czynny#musieć:musić:muszy#emerytować#pracownik#tytuł#uczona:uczony:uczyć#technik:technika#uczelnia#profesor#honorowy#naukowy#agh#stopień:stopić#lubić#posiadać#kandydat#nadawać#osoba#tytuł profesora honorowego agh nadaje się wybitnym uczonym, twórcom techniki oraz innym osobom, które są czynnymi lub emerytowanymi pracownikami uczelni; kandydat do tytułu musi posiadać stopień naukowy doktora
powołany:powołać#rad:rada#sześć#spoza#agh#skład#wchodzić#trzy#wspólnota#senat#osoba#uczelnia#w skład rady uczelni wchodzi sześć osób powołanych przez senat agh, w tym trzy osoby spoza wspólnoty uczelni
zbigniew#kąkol#krzysztof:krzysztofa#magdalena#członek:członka#hasik#janusz#habilitować#pawiński#uczelnia#doktor#ochab#rad:rada#magister#inżynier#bogusław:bogusława#profesor#pierwsza:pierwszy#wiatr#kazimierz:kazimierza#filipiak# Członkami pierwszej rady uczelni są: profesor doktor habilitowany inżynier Janusz Filipiak, magister inżynier Bogusław Ochab, doktor inżynier Krzysztof Pawiński, profesor doktor habilitowany inżynier Zbigniew Kąkol, profesor doktor habilitowany inżynier Kazimierz Wiatr oraz profesor doktor habilitowany inżynier Magdalena Hasik
